schcode,year,school,complexname,complexareaname,schooltypename,classification,totalindex,classificationplace
100,2013,Aina Haina Elementary,Kaiser,Farrington-Kaiser-Kalani,Elementary,Continuous Improvement,255,3
100,2014,Aina Haina Elementary,Kaiser,Farrington-Kaiser-Kalani,Elementary,Continuous Improvement,262,3
101,2013,Ala Wai Elementary,Kaimuki,Kaimuki-McKinley-Roosevelt,Elementary,Continuous Improvement,303,3
101,2014,Ala Wai Elementary,Kaimuki,Kaimuki-McKinley-Roosevelt,Elementary,Continuous Improvement,231,3
102,2013,Aliiolani Elementary,Kaimuki,Kaimuki-McKinley-Roosevelt,Elementary,Continuous Improvement,278,3
102,2014,Aliiolani Elementary,Kaimuki,Kaimuki-McKinley-Roosevelt,Elementary,Continuous Improvement,241,3
103,2013,Kula Kaiapuni O Anuenue,Roosevelt,Kaimuki-McKinley-Roosevelt,High,Continuous Improvement,135,3
103,2014,Kula Kaiapuni O Anuenue,Roosevelt,Kaimuki-McKinley-Roosevelt,High,Continuous Improvement,161,3
104,2013,Central Middle,McKinley,Kaimuki-McKinley-Roosevelt,Middle,Continuous Improvement,211,3
104,2014,Central Middle,McKinley,Kaimuki-McKinley-Roosevelt,Middle,Continuous Improvement,96,3
105,2013,Sanford B. Dole Middle,Farrington,Farrington-Kaiser-Kalani,Middle,Priority,63,1
105,2014,Sanford B. Dole Middle,Farrington,Farrington-Kaiser-Kalani,Middle,Priority,75,1
106,2013,Wallace Rider Farrington High,Farrington,Farrington-Kaiser-Kalani,High,Continuous Improvement,180,3
106,2014,Wallace Rider Farrington High,Farrington,Farrington-Kaiser-Kalani,High,Continuous Improvement,182,3
107,2013,Joseph J. Fern Elementary,Farrington,Farrington-Kaiser-Kalani,Elementary,Continuous Improvement,174,3
107,2014,Joseph J. Fern Elementary,Farrington,Farrington-Kaiser-Kalani,Elementary,Continuous Improvement,142,3
108,2013,Hahaione Elementary,Kaiser,Farrington-Kaiser-Kalani,Elementary,Continuous Improvement,352,3
108,2014,Hahaione Elementary,Kaiser,Farrington-Kaiser-Kalani,Elementary,Recognition,331,4
109,2013,Hokulani Elementary,Kaimuki,Kaimuki-McKinley-Roosevelt,Elementary,Recognition,360,4
109,2014,Hokulani Elementary,Kaimuki,Kaimuki-McKinley-Roosevelt,Elementary,Recognition,390,4
110,2013,William P. Jarrett Middle,Kaimuki,Kaimuki-McKinley-Roosevelt,Middle,Continuous Improvement,217,3
110,2014,William P. Jarrett Middle,Kaimuki,Kaimuki-McKinley-Roosevelt,Middle,Continuous Improvement,124,3
111,2013,Thomas Jefferson Elementary,Kaimuki,Kaimuki-McKinley-Roosevelt,Elementary,Continuous Improvement,316,3
111,2014,Thomas Jefferson Elementary,Kaimuki,Kaimuki-McKinley-Roosevelt,Elementary,Continuous Improvement,158,3
112,2013,Queen Kaahumanu Elementary,McKinley,Kaimuki-McKinley-Roosevelt,Elementary,Continuous Improvement,224,3
112,2014,Queen Kaahumanu Elementary,McKinley,Kaimuki-McKinley-Roosevelt,Elementary,Continuous Improvement,215,3
113,2013,Kaewai Elementary,Farrington,Farrington-Kaiser-Kalani,Elementary,Continuous Improvement,249,3
113,2014,Kaewai Elementary,Farrington,Farrington-Kaiser-Kalani,Elementary,Continuous Improvement,216,3
114,2013,Kahala Elementary,Kalani,Farrington-Kaiser-Kalani,Elementary,Continuous Improvement,229,3
114,2014,Kahala Elementary,Kalani,Farrington-Kaiser-Kalani,Elementary,Continuous Improvement,224,3
115,2013,Kaimuki High,Kaimuki,Kaimuki-McKinley-Roosevelt,High,Focus,142,2
115,2014,Kaimuki High,Kaimuki,Kaimuki-McKinley-Roosevelt,High,Focus,169,2
116,2013,Kaimuki Middle,Kalani,Farrington-Kaiser-Kalani,Middle,Continuous Improvement,286,3
116,2014,Kaimuki Middle,Kalani,Farrington-Kaiser-Kalani,Middle,Continuous Improvement,269,3
117,2013,Princess Victoria Kaiulani Elementary,McKinley,Kaimuki-McKinley-Roosevelt,Elementary,Continuous Improvement,166,3
117,2014,Princess Victoria Kaiulani Elementary,McKinley,Kaimuki-McKinley-Roosevelt,Elementary,Continuous Improvement,132,3
118,2013,King David Kalakaua Middle,Farrington,Farrington-Kaiser-Kalani,Middle,Continuous Improvement,240,3
118,2014,King David Kalakaua Middle,Farrington,Farrington-Kaiser-Kalani,Middle,Continuous Improvement,214,3
119,2013,Kalani High,Kalani,Farrington-Kaiser-Kalani,High,Continuous Improvement,241,3
119,2014,Kalani High,Kalani,Farrington-Kaiser-Kalani,High,Continuous Improvement,260,3
120,2013,Kalihi Elementary,Farrington,Farrington-Kaiser-Kalani,Elementary,Continuous Improvement,211,3
120,2014,Kalihi Elementary,Farrington,Farrington-Kaiser-Kalani,Elementary,Continuous Improvement,95,3
121,2013,Kalihi_kai Elementary,Farrington,Farrington-Kaiser-Kalani,Elementary,Priority,84,1
121,2014,Kalihi_kai Elementary,Farrington,Farrington-Kaiser-Kalani,Elementary,Priority,259,1
122,2013,Kalihi_uka Elementary,Farrington,Farrington-Kaiser-Kalani,Elementary,Recognition,353,4
122,2014,Kalihi_uka Elementary,Farrington,Farrington-Kaiser-Kalani,Elementary,Recognition,181,4
123,2013,Kalihi-waena Elementary,Farrington,Farrington-Kaiser-Kalani,Elementary,Continuous Improvement,318,3
123,2014,Kalihi-waena Elementary,Farrington,Farrington-Kaiser-Kalani,Elementary,Continuous Improvement,337,3
124,2013,Kapalama Elementary,Farrington,Farrington-Kaiser-Kalani,Elementary,Continuous Improvement,291,3
124,2014,Kapalama Elementary,Farrington,Farrington-Kaiser-Kalani,Elementary,Continuous Improvement,365,3
125,2013,Kauluwela Elementary,McKinley,Kaimuki-McKinley-Roosevelt,Elementary,Continuous Improvement,226,3
125,2014,Kauluwela Elementary,McKinley,Kaimuki-McKinley-Roosevelt,Elementary,Continuous Improvement,130,3
126,2013,Prince David Kawananakoa Middle,Roosevelt,Kaimuki-McKinley-Roosevelt,Middle,Continuous Improvement,229,3
126,2014,Prince David Kawananakoa Middle,Roosevelt,Kaimuki-McKinley-Roosevelt,Middle,Continuous Improvement,187,3
127,2013,Koko Head Elementary,Kaiser,Farrington-Kaiser-Kalani,Elementary,Continuous Improvement,233,3
127,2014,Koko Head Elementary,Kaiser,Farrington-Kaiser-Kalani,Elementary,Continuous Improvement,233,3
128,2013,Prince Jonah Kuhio Elementary,Kaimuki,Kaimuki-McKinley-Roosevelt,Elementary,Focus,88,2
128,2014,Prince Jonah Kuhio Elementary,Kaimuki,Kaimuki-McKinley-Roosevelt,Elementary,Focus,97,2
129,2013,Lanakila Elementary,McKinley,Kaimuki-McKinley-Roosevelt,Elementary,Recognition,335,4
129,2014,Lanakila Elementary,McKinley,Kaimuki-McKinley-Roosevelt,Elementary,Recognition,367,4
130,2013,King Liholiho Elementary,Kalani,Farrington-Kaiser-Kalani,Elementary,Recognition,341,4
130,2014,King Liholiho Elementary,Kalani,Farrington-Kaiser-Kalani,Elementary,Recognition,176,4
131,2013,Princess Miriam K. Likelike Elementary,McKinley,Kaimuki-McKinley-Roosevelt,Elementary,Continuous Improvement,129,3
131,2014,Princess Miriam K. Likelike Elementary,McKinley,Kaimuki-McKinley-Roosevelt,Elementary,Continuous Improvement,195,3
133,2013,Linapuni Elementary,Farrington,Farrington-Kaiser-Kalani,Elementary,Classification Not Determined,0,0
133,2014,Linapuni Elementary,Farrington,Farrington-Kaiser-Kalani,Elementary,Classification Not Determined,60,0
134,2013,Abraham Lincoln Elementary,Roosevelt,Kaimuki-McKinley-Roosevelt,Elementary,Continuous Improvement,291,3
134,2014,Abraham Lincoln Elementary,Roosevelt,Kaimuki-McKinley-Roosevelt,Elementary,Continuous Improvement,353,3
135,2013,King William Lunalilo Elementary,Kaimuki,Kaimuki-McKinley-Roosevelt,Elementary,Continuous Improvement,231,3
135,2014,King William Lunalilo Elementary,Kaimuki,Kaimuki-McKinley-Roosevelt,Elementary,Continuous Improvement,222,3
136,2013,Maemae Elementary,Roosevelt,Kaimuki-McKinley-Roosevelt,Elementary,Continuous Improvement,309,3
136,2014,Maemae Elementary,Roosevelt,Kaimuki-McKinley-Roosevelt,Elementary,Continuous Improvement,353,3
137,2013,Manoa Elementary,Roosevelt,Kaimuki-McKinley-Roosevelt,Elementary,Recognition,387,4
137,2014,Manoa Elementary,Roosevelt,Kaimuki-McKinley-Roosevelt,Elementary,Recognition,257,4
138,2013,William McKinley High,McKinley,Kaimuki-McKinley-Roosevelt,High,Continuous Improvement,212,3
138,2014,William McKinley High,McKinley,Kaimuki-McKinley-Roosevelt,High,Continuous Improvement,184,3
139,2013,Niu Valley Middle,Kaiser,Farrington-Kaiser-Kalani,Middle,Continuous Improvement,324,3
139,2014,Niu Valley Middle,Kaiser,Farrington-Kaiser-Kalani,Middle,Continuous Improvement,295,3
140,2013,Noelani Elementary,Roosevelt,Kaimuki-McKinley-Roosevelt,Elementary,Continuous Improvement,313,3
140,2014,Noelani Elementary,Roosevelt,Kaimuki-McKinley-Roosevelt,Elementary,Recognition,369,4
141,2013,Nuuanu Elementary,Roosevelt,Kaimuki-McKinley-Roosevelt,Elementary,Continuous Improvement,248,3
141,2014,Nuuanu Elementary,Roosevelt,Kaimuki-McKinley-Roosevelt,Elementary,Continuous Improvement,277,3
142,2013,Palolo Elementary,Kaimuki,Kaimuki-McKinley-Roosevelt,Elementary,Continuous Improvement,236,3
142,2014,Palolo Elementary,Kaimuki,Kaimuki-McKinley-Roosevelt,Elementary,Continuous Improvement,152,3
143,2013,Pauoa Elementary,Roosevelt,Kaimuki-McKinley-Roosevelt,Elementary,Continuous Improvement,220,3
143,2014,Pauoa Elementary,Roosevelt,Kaimuki-McKinley-Roosevelt,Elementary,Continuous Improvement,145,3
